Breed,Origin,American Kennel Club
Affenpinscher,Germany|France,Toy Group
Afghan Hound,Afghanistan,Hound Group 
Afghan Shepherd,Afghanistan,
Aidi,Morocco,
Airedale Terrier, United Kingdom (England),Terrier Group 
Akbash,Turkey,
Akita Inu,Japan,
Alano Español,Spain,
Alaskan Klee Kai,United States,
Alaskan Malamute,United States,Working Group
Alpine Dachsbracke,Austria ,
American Akita,Japan/United States,Working Group 
American Bulldog,United States ,
American Cocker Spaniel,United States,Sporting Group
American English Coonhound,United States,Hound Group
American Eskimo Dog,Germany,Non-Sporting Group
American Foxhound,United States,Hound Group
American Hairless Terrier,United States,FSS (Miscellaneous)
American Pit Bull Terrier,United States,
American Staffordshire Terrier,United States,Terrier Group 
American Water Spaniel,United States,Sporting Group 
Anatolian Shepherd Dog,Turkey,Working Group 
Andalusian Hound,Spain,
Anglo-Français de Petite Vénerie,France,
Appenzeller Sennenhund,Switzerland,FSS
Ariege Pointer,France,
Ariegeois,France,
Armant,Egypt,
Armenian Gampr dog,Armenia,
Artois Hound,France,
Australian Cattle Dog,Australia,Herding Group
Australian Kelpie,Australia,
Australian Shepherd,United States,Herding Group
Australian Silky Terrier,Australia,Toy Group
Australian Stumpy Tail Cattle Dog,Australia,
Australian Terrier,Australia,Terrier Group
Austrian Black and Tan Hound,Austria,
Austrian Pinscher,Austria,
Bakharwal Dog,Pakistan,
Barbet,France,FSS
Basenji,Democratic Republic of the Congo,Hound Group
Basque Ratter,Spain,
Basque Shepherd Dog,Spain,
Basset Artésien Normand,France,
Basset Bleu de Gascogne,France,
Basset Fauve de Bretagne,France,FSS
Basset Griffon Vendéen,France,Hound Group
Basset Hound,France,Hound Group
Bavarian Mountain Hound,Germany,
Beagle,United Kingdom (England),Hound Group
Beagle-Harrier,France,
Bearded Collie,United Kingdom (Scotland),Herding Group
Beauceron,France,Herding Group
Bedlington Terrier,United Kingdom,Terrier Group
Belgian Shepherd (Tervuren),Belgium,Herding Group
Belgian Shepherd Dog (Groenendael),Belgium,Herding Group
Belgian Shepherd Dog (Laekenois),Belgium,FSS (Miscellaneous)
Belgian Shepherd Dog (Malinois),Belgium,Herding Group
Bergamasco Shepherd,Italy,Herding Group
Berger Blanc Suisse,Switzerland,
Berger Picard,France,Herding Group
Berner Laufhund,Switzerland,
Bernese Mountain Dog,Switzerland,Working Group
Billy,France,
Black and Tan Coonhound,United States,Hound Group
Black and Tan Virginia Foxhound,United States,
Black Norwegian Elkhound,Norway,
Black Russian Terrier,Russia,Working Group
Blackmouth Cur,United States,
Bloodhound,Belgium|France,Hound Group
Blue Lacy,United States,
Bluetick Coonhound,United States,Hound Group
Boerboel,South Africa,Working Group
Bohemian Shepherd,Czech Republic,
Bolognese,Italy,FSS
Border Collie,"United Kingdom (Scotland, England, Wales)",Herding Group
Border Terrier,"United Kingdom (Scotland, England)",Terrier Group
Borzoi,Russia,Hound Group
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,
Boston Terrier,United States,Non-Sporting Group
Bouvier des Ardennes,Belgium,
Bouvier des Flandres,Belgium,Herding Group
Boxer,Germany,Working Group
Boykin Spaniel,United States,Sporting Group
Bracco Italiano,Italy,FSS
Braque d'Auvergne,France,
Braque du Bourbonnais,France,FSS
Braque Saint-Germain,France,
Brazilian Dogo,Brazil,
Brazilian Terrier,Brazil,
Briard,France,Herding Group
Briquet Griffon Vendéen,France,
Brittany,France,Sporting Group
Broholmer,Denmark,FSS
Bruno Jura Hound,"Switzerland, France",
Bucovina Shepherd Dog,Romania,
Bull and Terrier,United Kingdom,
Bull Terrier,United Kingdom (England),Terrier Group
Bull Terrier (Miniature),United Kingdom (England),Terrier Group
Bulldog,United Kingdom (England),Non-sporting Group
Bullmastiff,United Kingdom (England),Working Group
Bully Kutta,Pakistan,
Burgos Pointer,Spain,
Cairn Terrier,United Kingdom (Scotland),Terrier Group
Canaan Dog,Middle East Lebanon - Israel,Herding Group
Canadian Eskimo Dog,Canada,
Cane Corso,Italy,Working Group
Cantabrian Water Dog,Spain,
Cão da Serra de Aires,Portugal,FSS
Cão de Castro Laboreiro,Portugal,
Cão Fila de São Miguel,Portugal,
Carolina Dog,United States,
Carpathian Shepherd Dog,Romania,
Catahoula Cur,United States,FSS
Catalan Sheepdog,Spain,
Cavalier King Charles Spaniel,United Kingdom (England),Toy Group
Central Asian Shepherd Dog,Russia,FSS
Cesky Fousek,Czech Republic,
Cesky Terrier,Czech Republic,Terrier Group
Chesapeake Bay Retriever,United States,Sporting Group
Chien Français Blanc et Noir,France,
Chien Français Blanc et Orange,France,
Chien Français Tricolore,France,
Chihuahua,Mexico,Toy Group
Chilean Fox Terrier,Chile,
Chinese Chongqing Dog,China,
Chinese Crested Dog,China,Toy Group
Chinese Imperial Dog,China,
Chinook,United States,Working Group
Chippiparai,India,
Chow Chow,China,Non-Sporting Group
Cirneco dell'Etna,Italy,Hound Group
Clumber Spaniel,United Kingdom (England),Sporting Group
Combai,India,
Cretan Hound,Greece,
Croatian Sheepdog,Croatia,
Curly Coated Retriever,United Kingdom (England),Sporting Group
Cursinu,Corsica (France), 
Dachshund,Germany,Hound Group
Dalmatian,Croatia,Non-Sporting Group
Dandie Dinmont Terrier,United Kingdom (Scotland),Terrier Group
Decker Rat Terrier,United States,
Deutsche Bracke,Germany,
Doberman Pinscher,Germany,Working Group
